Qobs,Precipitation,Peff,Qmean,Qinf_2_5,Qsup_97_5
0.301,0.0,0.0,1.387452295508039e-06,0.0,7.44294617271441e-06
0.304,0.0,0.0,7.966481921398655e-07,0.0,5.072711602152337e-06
0.312,3.0,0.0,4.5953767894151147e-07,0.0,2.1207686381744295e-06
0.332,0.0,0.0,2.6643674138068576e-07,0.0,1.7050090568713132e-06
0.321,0.0,0.0,1.62351918166368e-07,0.0,6.932040773420835e-07
0.309,0.0,0.0,9.442441255001207e-08,0.0,5.259659136655305e-07
0.309,0.2,0.0,6.093977340928432e-08,0.0,3.0800131414054993e-07
0.309,0.0,0.0,3.642945075456458e-08,0.0,2.3559909980887145e-07
0.309,0.0,0.0,2.1914216477375718e-08,0.0,1.1668507968019889e-07
0.309,0.0,0.0,1.4177509203991934e-08,0.0,9.906760924029693e-08
0.309,0.1,0.0,7.918881650421087e-09,0.0,4.257898682057328e-08
0.319,0.0,0.0,5.558699868073765e-09,0.0,3.7016196035605594e-08
0.309,0.0,0.0,2.8560234472396943e-09,0.0,1.4404747313505629e-08
0.309,0.0,0.0,2.1729078226493676e-09,0.0,1.3314984400629574e-08
0.291,0.0,0.0,1.1219905594568203e-09,0.0,5.055887648203848e-09
0.286,0.0,0.0,8.2001447809829e-10,0.0,4.927230974828401e-09
0.286,0.0,0.0,3.9998140704978277e-10,0.0,1.8350175017581442e-09
0.287,3.5,0.4500000000000002,3.361040339926687e-10,0.0,1.819585544758785e-09
0.294,1.5,0.0,0.04945274043791451,0.04333785143735491,0.05356740496089522
0.302,0.0,0.0,0.046085015568874774,0.03982957998065521,0.05192909223194754
0.309,0.0,0.0,0.03162836216925625,0.024119762214804358,0.038063057740436106
0.307,0.0,0.0,0.019132180797603444,0.013824643046673293,0.02550532887059328
0.304,0.0,0.0,0.010550068059009597,0.006316152909225356,0.01613274243934906
0.301,0.0,0.0,0.005513202877246581,0.002967290777828717,0.009764341859651979
0.297,0.0,0.0,0.002761583665794207,0.0012684593654533182,0.005658960583829368
0.294,0.0,0.0,0.001362971598123849,0.0005711308399716674,0.003116224753285401
0.291,0.0,0.0,0.0006751342592262544,0.00026310307477573453,0.0017011712189104453
0.287,0.0,0.0,0.00033504315370802497,0.00012282182131257137,0.0008472426005189533
0.284,0.0,0.0,0.00017096715244212284,5.7237031804266504e-05,0.0005163541307644367
0.281,0.0,0.0,8.68140075103051e-05,2.6441166030198958e-05,0.0002648116920387539
0.277,0.0,0.0,4.573954825860159e-05,1.3031690897176138e-05,0.00014934922593158354
0.274,0.0,0.0,2.404563107166061e-05,6.3501913211810355e-06,8.661547104385569e-05
0.272,0.0,0.0,1.296270088072482e-05,2.7659697457705176e-06,5.1974534830491046e-05
0.269,0.0,0.0,6.908016979505548e-06,1.3535906818572327e-06,2.7710033420017564e-05
0.266,0.0,0.0,3.6893132539725396e-06,5.369541033469146e-07,1.5244391365487437e-05
