mu,lambda,sigma,alpha_levy,beta_levy,nse_best
0.9481629473534579,3.2425510743706605,0.00040131037319455224,1.8633455822053668,-0.8510519333841389,0.44869367221669143
0.9498655710090685,3.2895106705702797,0.005721469793243283,1.2037581702579876,-0.2091286671957716,0.44842444802804904
0.947136560212357,3.3151636674000504,3.7937025183110154e-05,1.6611335328249148,-0.4692263454254719,0.44717915126116836
0.9496268323159569,3.3189698306989284,0.025314511270047347,1.7232116255287755,-0.3654497379165169,0.44756284019545856
0.9474555723542013,3.286106613557638,0.0010476066067178547,1.2005909658078617,-0.7718612443708733,0.4480708087901284
0.9484742375015167,3.2509219901980924,0.003980018275096297,1.8691076871512493,-0.2943627535406925,0.44897590486939365
0.9493409293486079,3.303383358363148,0.013707150307427952,1.7981459413865841,-0.947863739072211,0.450102731715881
0.9493604370457422,3.1865774372766933,0.008214706380581905,1.5565219705235223,-0.8088940431186823,0.44754850877726104
0.9497095236598607,3.3284884351313924,0.016887977055005356,1.5201063829515047,-0.5555148124771111,0.4443012328324134
0.9486136159664998,3.3273140031369746,0.038924919980408514,1.8030092118387298,-0.5919172359956815,0.4504839004908001
0.9496363264685282,3.2962590796238858,0.015971914526766575,1.7752147752094511,-0.9997298222188986,0.44959662343254003
0.9483568191734586,3.328601246434734,0.0054537565787168285,1.4310071439354284,-0.6149824798618228,0.44793462600670964
0.9470927260485481,3.3071601221348965,0.001304920308433899,1.1577008649389537,-0.555600448787063,0.44699282826826137
0.9483809732601352,3.3690241539407046,0.0010050618896918384,1.2987307245031434,-0.8791758479670908,0.4481015160097628
0.9490710354818765,3.397275728841909,0.0018023435237769837,1.300678198623784,-0.671061800733866,0.4467236930504018
0.9495507911626693,3.2080989730706557,0.009315707562598275,1.3711619781290767,-0.6253929301108043,0.4397749348083375
0.9477128043116612,3.343288773492568,0.014178484671880476,1.7746618136935048,-0.915509244252527,0.44682966638831767
0.9499061407503808,3.297406140869401,0.01179213808706915,1.657638590225837,-0.9866401981449814,0.4487696573734876
0.9459430499510757,3.357315513052692,0.004812991556909585,1.28431189857908,-0.5406990630262043,0.44688588209905344
0.9498604590660054,3.1498722283276113,0.007805350585818872,1.294957024230799,-0.6714570251177979,0.44516830638423244
0.9464066027215914,3.3264799521658643,0.00036275171779507346,1.4937385867054398,-0.8983536502911594,0.4458906121711317
0.9488955420811561,3.1865688235913066,0.004593647780232857,1.688925684370862,-0.03941666688547363,0.44846618667516114
0.9475543479493587,3.2025474298317165,0.011561509361933554,1.457653217346202,-0.49457073845979105,0.44279980433806354
0.9495719630532673,3.2861442903101095,0.007215030508942577,1.186769225865529,-0.5170777832961856,0.43912137991432776
0.9487963746169696,3.2996210978477922,0.0018021199789462483,1.3202516382102167,-0.44541129597271856,0.4506415274258837
0.9496173406217888,3.2352880454218313,0.009162380375338675,1.7416339039733324,-0.5511858734640812,0.4495694030003692
0.9494137081621586,3.13277694941731,0.0011241504583640262,1.5159955708883626,-0.23168722892397065,0.44704525531667605
0.9498342437142776,3.25370975690325,0.01703447559099728,1.7034141523140465,-0.7808916050650045,0.44912638138734495
0.949544648065829,3.3884185179247845,0.002845143256944427,1.180647148145715,-0.29105984003142205,0.44712192920305316
0.9499707326701264,3.2185132404487877,0.008509230224245046,1.4984756640753438,-0.8177683879254752,0.4506949245989581
0.9496897612473428,3.2979404908249292,0.002493035143885214,1.397214448861575,-0.049515451877353844,0.4496522224655799
0.9496566440332943,3.2936369493650446,0.013144522757599442,1.7005033653438943,-0.18112246697168388,0.4483904650239716
0.9492754627120668,3.346591670390217,0.002252625989533219,1.8406745054509033,-0.9472345159153912,0.4500836502826563
0.9497189079111118,3.1988035138432087,0.0027570756524276764,1.1777243854123522,-0.20892704902623815,0.4477447783737003
0.9483687519637012,3.1955184009870274,0.002423617356803765,1.1276198633664007,-0.8870573874409876,0.4483883254696892
0.9475555971116174,3.245762031269822,0.007335040360591506,1.7339592799773005,-0.7811707161976258,0.4475272285249019
0.9485796352949513,3.2965458673469397,0.0001902243923613267,1.3560030871700042,-0.5668626983490787,0.44950314332213026
0.9494634899569439,3.3578709374964744,0.0008306558971556077,1.2593507334304208,-0.7229260485912741,0.4497417408130836
0.9495667207124339,3.339831505304595,0.0030158179555467403,1.6104356958404011,-0.8449493138082261,0.4498067035650054
0.9444777821721042,3.2405045209859136,0.012555882455930756,1.6879784365818935,-0.4677239105393105,0.4414496220355585
0.949552293327694,3.2959672348518128,0.009969939575768128,1.1183141923858848,-0.7678315026166436,0.44717118466301287
0.9480799178343617,3.2770755502097897,0.007215680675375891,1.49806265258773,-0.35587495819669135,0.44840643233939714
0.9484395888315907,3.255982836639304,0.021561383781574406,1.8601063171018175,-0.046219267642104045,0.4481074813999537
0.9478369442283819,3.283121081649089,0.0006578434193895033,1.2973757750860804,-0.946151306652358,0.4482931500647075
0.9492069143267681,3.2089722894622197,0.0042055027840153135,1.5845710519267058,-0.9519245406188173,0.4487565517153639
0.9470385676645671,3.227831146846695,0.0026129391410066763,1.392422149604383,-0.4162051499147571,0.44703128184188523
0.9494785392066379,3.2882432016172913,0.0052401510197449324,1.6629193401880866,-0.25534563285716594,0.44989763028191554
0.9492912267205571,3.2745355945596364,0.003564001396652328,1.4156968815755104,-0.4051223075053241,0.4490352806209372
0.9496503987653395,3.2612964074467916,0.012313457501077207,1.8900011352352026,-0.030944157595412913,0.4503929061784655
0.9468914405718001,3.319527915862638,0.0006954472620510966,1.5076375202645083,-0.2876974533383737,0.4467344998790528
0.9490676730181727,3.221467823640861,0.01519166650005045,1.7878347648067603,-0.05190217539897668,0.4474023688768265
0.9497480564418632,3.219352099713368,0.0003537276070746387,1.8341374316823558,-0.5438669629739482,0.4502158514314841
0.9479898769417511,3.3562546961852475,0.0025919649178943074,1.4026739106514903,-0.7654702480311054,0.44785940465611185
0.9493785427518877,3.2900587615524155,0.021516285474573217,1.5112577268018144,-0.2049629440217271,0.4512090851547378
0.9499699635251576,3.3948641242574604,0.013105205767058693,1.6904514837832214,-0.8558755870719719,0.45089809842590045
0.9491983950900921,3.2991349255354114,0.0001695508215246999,1.701987683046145,-0.35652557245782257,0.4502230207421425
0.9498182307094123,3.117283880989172,0.004349179421474981,1.770739834154688,-0.7019849239650218,0.44668365899178086
0.9441349094608117,3.296929972738214,0.002241291466001938,1.3559722481967327,-0.8949870359700661,0.44272451046720374
0.9495744868276946,3.281664520666804,0.017457293914043406,1.5897168070732783,-0.70674617729771,0.4470372455788769
0.9490586718921044,3.2172512888516556,0.0015935006622383896,1.4400087839255262,-0.404132792564154,0.44918285383847945
0.9493566300380072,3.279419039123761,0.013091002259489726,1.684241200253732,-0.3682467763779521,0.4488677758049562
0.9487785730259835,3.208337885120221,0.001260212217230561,1.8567199929622369,-0.31892041360821954,0.44886463842123014
0.9459487640325042,3.1780661898733094,0.0026640162572616924,1.3550728958392164,-0.6429488975969582,0.4442309698613798
0.9486514906477175,3.231597650136981,0.002582265003714324,1.7687549583101077,-0.37382359128427545,0.4479445037480282
0.9497391417052314,3.171033763345238,0.0038167751294986953,1.2459713869800417,-0.14406211023045912,0.44561768682600966
0.9471707795125026,3.371051347750245,0.0007521781218053358,1.219499244793051,-0.4925332645717536,0.4454357972172178
0.9495630139466683,3.2841018889588187,0.005967594703951074,1.5708027224503331,-0.845407564193855,0.44961283517362216
0.9498824005200387,3.309687685591418,0.008779159675514193,1.5921993341935572,-0.6569684773631318,0.4474371827168704
0.9475078543072072,3.337117958503949,0.013347235334145913,1.339549310212505,-0.8248181887877878,0.4415068687854202
0.9460164115497054,3.2958976993661238,0.004843353378080984,1.2719435749595132,-0.6107008723247037,0.4438391231954555
0.9481320680829128,3.309890069337226,0.00974206379269037,1.8526525757115324,-0.693218391581126,0.4476196124237609
0.9495210506842565,3.2782935448011274,0.00023885345872837194,1.6116730340623822,-0.4689071532232222,0.45061468932920457
0.9496519374773977,3.2193539357226233,0.004904866298275435,1.8208705376579304,-0.6164591720259597,0.44941280726457133
0.9498369618041604,3.285631790342764,0.008231493537422098,1.4925220263508774,-0.5503645979313517,0.44686799138541355
0.9445730322662186,3.2808751833495826,0.004207500484599592,1.2346133674370638,-0.11451073876311213,0.44410723460083557
0.9494215054039743,3.255089306700451,0.0011252472401160674,1.7507407180476386,-0.3495928641198389,0.4504009770704913
0.948472959133283,3.2893286397452854,0.007771880458021286,1.283092136386328,-0.5218903886068332,0.4445265167575111
0.9496700584922295,3.084355099518822,0.00022174163563177808,1.577400186252362,-0.09292097293022838,0.4452339081885781
0.9450778485659317,3.305302008155037,0.0027898759546707177,1.1145847823704318,-0.249761102459634,0.44428180621163693
0.9482337177313669,3.2649020070706847,0.004510672659630988,1.7980748935184558,-0.936785447936197,0.4487149862099923
0.9492686365871978,3.282170754624844,0.013141027771858372,1.6319296321223091,-0.42911704573999077,0.4503308601010677
0.9472406235994613,3.1773607495073763,0.0001463275710348211,1.2563769347619544,-0.584711664251292,0.4478058806887776
0.9423765935082915,3.1218559304654185,1.2794512293889948e-05,1.426388052810702,-0.15167535268241572,0.43982513266751666
