mu,lambda,sigma,nse_best
0.9499011602535554,2.3312766038350867,0.011965016847555089,0.2822248257560731
0.9480518804206144,2.1103406903592647,0.00030063468537288034,0.27383985506568165
0.9491591835058641,2.1930748986383466,0.025940960841840912,0.27627100237658664
0.9468637322838724,2.0318643191916808,0.002951638294541803,0.26721510960686157
0.9495676384875505,2.191809364201062,0.0029691919291541247,0.2749163609073044
0.949419747754404,2.2230391048829627,0.0079404551287814,0.28335105224608126
0.9492286637273694,2.2257053725274405,0.003026995762188689,0.2756732594499639
0.9462409850062579,2.1321780279153826,0.0026366638693804735,0.2722352555370049
0.9490533067086884,2.0994249374640104,0.001379665181793788,0.2748664155431605
0.9420224049784431,2.1393397870297455,0.002184261906264495,0.2628851594101137
0.9487229273938778,2.0690079023877135,0.0010304428496084705,0.2733886506813088
0.9483758559826877,2.167224146604435,0.005515661910672665,0.2755447263372245
0.9498507468480752,2.438943770308197,0.0011738800419175523,0.2641223816018039
0.9496068460959424,2.1998395401140347,0.008610907195220863,0.2741923176168021
0.9463616909095376,2.102703463130054,0.0035098511719523274,0.26830879472233005
0.9498789404119322,2.199935625859249,0.008210681590979652,0.277074363141649
0.947768074400996,2.261170789779169,0.006589869699247564,0.2775964006505641
0.9478875305843977,2.0270383280722712,0.004218597725393647,0.2692956122685056
0.9404662872430903,2.037129523905491,0.001036851333568134,0.25468276886975827
0.9486718710265591,2.2558000680260353,0.0017329592308654496,0.2735491766140785
0.9488150935153297,2.183665270850015,0.004365307331357704,0.26454287397384657
0.9492910023922082,2.3349895190749104,0.004567437612102688,0.2693489552468852
0.9495919669421656,2.1965812714353405,0.008299026279163003,0.2748849851261894
0.9404035818895868,2.201891540633307,0.04467628431378348,0.25169170278295383
0.9496847334491132,2.226507381170633,0.030096699541465377,0.2861931204480248
0.9471881247731513,2.2658381089299144,0.04624125613750098,0.3090461243978857
0.9481324329100823,2.2160197007431472,0.006489853631433007,0.2705524582368921
0.9486655192365249,2.3093498027047774,0.01570683332919023,0.27600388161163947
0.9489569233923427,2.173506281286993,0.003751029276200979,0.27473546089830725
0.9487786265963185,2.2301574551075096,0.008006313319704961,0.2715783120348395
0.9486432178847239,2.171101833086739,0.006200722230691458,0.27677374473786454
0.9463076212557519,2.053899479257058,0.0010186351677214823,0.26921248069208437
0.9485993106460482,2.5925178486845537,0.09050199106694538,0.279841895570337
0.9475237696853029,2.2265394389396596,0.000783039256780882,0.2735689103780169
0.9480748872597142,2.2524526086178893,0.002058150807014414,0.25505422978992787
0.9436443709056639,2.237216907981133,0.005193884802434945,0.29346715575105053
0.9473260449387559,2.1850250104284377,0.009377482616121313,0.2691450571241377
0.9484821764280349,2.190780591872273,0.00902896666415305,0.2773419130998075
0.9492131298763006,2.181764603538278,0.011381324456642129,0.27476173873529686
0.9498303872416995,2.695818276417679,0.021834300967715315,0.3567931959497499
0.9493366196223068,2.2556896469668635,0.011147908303017373,0.27886470055521295
0.9475096223891141,2.2693018622791112,0.016155654045787594,0.26926151464068027
0.9441236839580028,2.1114855253086624,0.013096705074388582,0.2667180413056842
0.9487418941146251,2.362735194388842,0.003203410429883891,0.2687244334804293
0.9463585793788218,2.193119214863075,0.0043484765454073985,0.27084068276419215
0.9499124420410734,2.2161003520699962,0.0007872358621284214,0.27202625532864455
0.946199547303135,2.1776369745380357,0.0011789510604807152,0.27152082604760075
0.9485913889847248,2.072877684489858,0.007295370943787816,0.26596581101407224
0.94981916904778,2.1947620286463265,0.026167016109342512,0.2853933768208696
0.9470088035203235,2.3268603483138888,0.023185152279279,0.2927407484679655
0.949878746586053,2.1511256114104333,0.0049212573810559,0.25354390559373274
0.9474467613946405,2.1726667185548094,0.005358931536978551,0.2725843532477362
0.9485323605379081,2.1977902668548173,0.00695290909114461,0.27603676804365673
0.9492240385039836,2.295819086705696,0.0021720142474626726,0.27395256425655945
0.9440476593164218,2.1190933301902013,0.0038080670435862276,0.2619590568183714
0.9482046301007058,2.1824460447058205,0.002728617759075647,0.2738781477030422
0.9482656815000483,2.184956890628026,0.0020002256477120173,0.27602908255961534
0.9485475669569169,2.229634113667012,0.003230079360301119,0.2744950159407621
0.9459439928375549,2.031647525616983,0.0007910247222392309,0.2671265491366359
0.948062080935521,2.15488553372895,0.0015793699152919728,0.275652874239677
0.949805195117832,2.1794593219594387,0.010753357193697178,0.27241043396801423
0.9481564694943071,2.1623890864572815,0.0019994849232330305,0.2736711681569324
0.9419865143079795,2.0013829517959714,0.0013979998201487766,0.2621120380229487
0.9499876133406975,2.1514243104478883,0.013561765631657974,0.27531882075261915
0.9494775103543203,2.1935192591754977,0.0218332953436168,0.2826662303407842
0.9482668917990057,2.2226792502044637,0.0027357158599444877,0.27210281309262896
0.9496987922870219,2.2157039999896617,0.014418985642776072,0.27202783440178524
0.9452089397393809,2.1818118585606574,0.0053868768173780945,0.2709575539319876
0.945491322260751,2.188021066112281,0.0016194168007240273,0.27039378368338585
0.9462783431717035,2.355996762554698,0.03396466594845193,0.2900842135880978
0.9499491182985194,2.733015661547829,0.05238828237292015,0.3104820285110349
0.9492953786522818,2.146374456229961,0.028251637097586248,0.28168587291252933
