date,flow_obs,flow_sim,precipitation_mean,tmin_mean,tmax_mean
1981-06-29,,0.176,0.0,-9.032,15.26
1981-06-30,,0.173,0.03,-8.946,15.367
1981-07-01,,0.175,0.0,-7.825,14.86
1981-07-02,,0.173,0.223,-6.611,14.375
1981-07-03,,0.171,0.028,-5.307,15.338
1981-07-04,,0.168,0.0,-6.953,14.199
1981-07-05,,0.167,0.0,-8.576,13.734
1981-07-06,,0.165,0.0,-9.439,14.659
1981-07-07,,0.164,0.0,-7.86,14.549
1981-07-08,,0.163,0.0,-8.151,14.968
1981-07-09,,0.162,0.0,-7.755,15.773
1981-07-10,,0.16,0.0,-7.606,14.89
1981-07-11,,0.16,0.0,-7.433,14.438
1981-07-12,,0.16,0.004,-6.512,14.277
1981-07-13,,0.158,0.0,-6.984,13.868
1981-07-14,,0.157,0.0,-6.762,14.209
1981-07-15,,0.155,0.0,-6.867,15.058
1981-07-16,,0.153,0.0,-6.951,14.813
1981-07-17,,0.153,0.213,-6.622,13.395
1981-07-18,,0.152,0.001,-6.847,13.371
1981-07-19,,0.151,0.0,-5.984,12.232
1981-07-20,,0.15,0.0,-5.23,12.931
1981-07-21,,0.148,0.0,-6.716,12.864
1981-07-22,,0.148,0.0,-8.859,13.724
1981-07-23,,0.147,0.007,-7.046,13.311
1981-07-24,,0.146,0.001,-6.335,13.564
1981-07-25,,0.144,0.003,-7.302,13.64
1981-07-26,,0.143,0.065,-7.102,13.939
1981-07-27,,0.141,0.465,-8.339,13.877
1981-07-28,,0.141,0.02,-7.347,14.831
1981-07-29,,0.14,0.03,-7.724,15.16
1981-07-30,,0.139,0.013,-7.675,15.418
1981-07-31,,0.137,0.084,-7.892,15.505
1981-08-01,,0.117,0.0,-8.174,14.983
1981-08-02,,0.116,0.0,-8.902,14.985
1981-08-03,,0.115,0.0,-7.939,15.118
1981-08-04,,0.114,0.001,-7.411,13.523
1981-08-05,,0.113,0.084,-3.872,13.074
1981-08-06,,0.113,0.236,-3.342,12.312
1981-08-07,,0.114,0.079,-4.674,12.901
1981-08-08,,0.117,0.033,-5.342,13.408
1981-08-09,,0.12,1.422,-4.028,12.464
1981-08-10,,0.125,1.854,-3.128,10.465
1981-08-11,,0.143,2.203,-3.752,10.51
1981-08-12,,0.17,0.896,-3.239,10.282
1981-08-13,,0.218,0.799,-4.557,10.687
1981-08-14,,0.26,0.137,-7.109,12.98
1981-08-15,,0.262,0.245,-5.654,12.538
1981-08-16,,0.263,0.0,-5.176,11.939
1981-08-17,,0.261,0.001,-8.877,12.271
1981-08-18,,0.259,0.918,-8.388,13.298
1981-08-19,,0.219,0.4,-2.669,12.895
1981-08-20,,0.196,0.002,-3.257,13.625
1981-08-21,,0.196,0.036,-6.901,14.331
1981-08-22,,0.196,0.0,-7.487,14.858
1981-08-23,,0.196,0.004,-9.291,13.642
1981-08-24,,0.185,0.03,-8.214,14.28
1981-08-25,,0.17,0.022,-7.849,14.052
1981-08-26,,0.158,0.0,-6.578,14.209
1981-08-27,,0.141,0.019,-5.449,15.051
1981-08-28,,0.122,0.221,-3.412,14.116
1981-08-29,,0.114,1.253,-3.016,13.728
1981-08-30,,0.111,1.802,-3.699,11.08
1981-08-31,,0.111,0.433,-3.26,11.106
1981-09-01,,0.084,0.305,-7.155,13.157
1981-09-02,,0.086,0.0,-6.29,13.254
1981-09-03,,0.087,1.286,-4.663,11.456
1981-09-04,,0.087,1.989,-3.41,11.437
1981-09-05,,0.086,0.108,-7.65,12.485
1981-09-06,,0.086,0.0,-9.884,11.968
1981-09-07,,0.085,0.0,-7.341,12.551
1981-09-08,,0.084,0.004,-6.076,13.747
1981-09-09,,0.083,0.111,-4.101,14.526
1981-09-10,,0.081,0.24,-3.885,13.049
1981-09-11,,0.08,2.901,-2.563,13.896
1981-09-12,,0.078,0.419,-2.687,14.511
1981-09-13,,0.078,0.285,-3.866,13.272
1981-09-14,,0.078,0.428,-5.917,12.661
1981-09-15,,0.078,0.997,-5.396,13.789
1981-09-16,,0.078,0.006,-5.937,14.73
1981-09-17,,0.077,0.026,-5.183,15.02
1981-09-18,,0.076,1.103,-3.72,15.677
1981-09-19,,0.076,0.743,-3.016,15.193
1981-09-20,,0.077,1.291,-1.951,14.858
1981-09-21,,0.078,2.248,-2.005,12.854
1981-09-22,,0.082,6.995,-2.445,11.767
1981-09-23,,0.086,3.667,-3.52,11.781
1981-09-24,,0.089,1.997,-3.12,12.2
1981-09-25,,0.092,0.78,-5.337,13.397
1981-09-26,,0.095,3.833,-3.857,12.497
